year,month,day,hour,power
2012,1,1,1,417485.0
2012,1,1,2,450840.0
2012,1,1,3,444362.0
2012,1,1,4,425436.0
2012,1,1,5,414821.0
2012,1,1,6,4078.0
2012,1,1,7,415568.0
2012,1,1,8,428814.0
2012,1,1,9,433736.0
2012,1,1,10,460745.0
2012,1,1,11,483755.0
2012,1,1,12,486797.0
2012,1,1,13,545229.0
2012,1,1,14,539616.0
2012,1,1,15,546799.0
2012,1,1,16,549823.0
2012,1,1,17,550302.0
2012,1,1,18,581072.0
2012,1,1,19,635048.0
2012,1,1,20,635156.0
2012,1,1,21,635848.0
2012,1,1,22,624432.0
2012,1,1,23,607233.0
2012,1,2,00,554427.0
2012,1,2,1,488357.0
2012,1,2,2,425183.0
2012,1,2,3,416956.0
2012,1,2,4,402584.0
2012,1,2,5,398686.0
2012,1,2,6,425951.0
2012,1,2,7,492383.0
2012,1,2,8,578532.0
2012,1,2,9,624248.0
2012,1,2,10,759565.0
2012,1,2,11,854761.0
2012,1,2,12,891610.0
2012,1,2,13,943887.0
2012,1,2,14,943847.0
2012,1,2,15,947112.0
2012,1,2,16,946985.0
2012,1,2,17,966890.0
2012,1,2,18,998743.0
2012,1,2,19,1067964.0
2012,1,2,20,1049741.0
2012,1,2,21,1017823.0
2012,1,2,22,984652.0
2012,1,2,23,870267.0
2012,1,3,00,729149.0
2012,1,3,1,563778.0
2012,1,3,2,470410.0
2012,1,3,3,448366.0
2012,1,3,4,429312.0
2012,1,3,5,408350.0
2012,1,3,6,424243.0
2012,1,3,7,487719.0
2012,1,3,8,584191.0
2012,1,3,9,621691.0
2012,1,3,10,775660.0
2012,1,3,11,865536.0
2012,1,3,12,881011.0
2012,1,3,13,915940.0
2012,1,3,14,935403.0
2012,1,3,15,949259.0
2012,1,3,16,931683.0
2012,1,3,17,948919.0
2012,1,3,18,996441.0
2012,1,3,19,1050902.0
2012,1,3,20,1046255.0
2012,1,3,21,978178.0
2012,1,3,22,940188.0
2012,1,3,23,867902.0
2012,1,4,00,723582.0
2012,1,4,1,560886.0
2012,1,4,2,462533.0
2012,1,4,3,439624.0
2012,1,4,4,419619.0
2012,1,4,5,397713.0
2012,1,4,6,422501.0
2012,1,4,7,490957.0
2012,1,4,8,593874.0
2012,1,4,9,630375.0
2012,1,4,10,777209.0
2012,1,4,11,859464.0
2012,1,4,12,884077.0
2012,1,4,13,916916.0
2012,1,4,14,932715.0
2012,1,4,15,939156.0
2012,1,4,16,9563.0
2012,1,4,17,962120.0
2012,1,4,18,984457.0
2012,1,4,19,1065712.0
2012,1,4,20,1057124.0
2012,1,4,21,991792.0
2012,1,4,22,954182.0
2012,1,4,23,884045.0
2012,1,5,00,734147.0
2012,1,5,1,574468.0
2012,1,5,2,479456.0
2012,1,5,3,451752.0
2012,1,5,4,433908.0
2012,1,5,5,414917.0
2012,1,5,6,430703.0
2012,1,5,7,494952.0
2012,1,5,8,595989.0
2012,1,5,9,632565.0
2012,1,5,10,771390.0
2012,1,5,11,864306.0
2012,1,5,12,8833.0
2012,1,5,13,920730.0
2012,1,5,14,944593.0
2012,1,5,15,942997.0
2012,1,5,16,956129.0
2012,1,5,17,962613.0
2012,1,5,18,997554.0
2012,1,5,19,1054183.0
2012,1,5,20,1053433.0
2012,1,5,21,984796.0
2012,1,5,22,937542.0
2012,1,5,23,859024.0
2012,1,6,00,721112.0
2012,1,6,1,567529.0
2012,1,6,2,468087.0
2012,1,6,3,444918.0
2012,1,6,4,425546.0
