year,month,day,hour,power
2018,1,1,0,2317.75
2018,1,1,1,1937.97
2018,1,1,2,1693.49
2018,1,1,3,1382.23
2018,1,1,4,1065.02
2018,1,1,5,793.53
2018,1,1,6,682.44
2018,1,1,7,393.59
2018,1,1,8,366.03
2018,1,1,9,479.13
2018,1,1,10,520.96
2018,1,1,11,769.89
2018,1,1,12,1101.96
2018,1,1,13,1273.16
2018,1,1,14,1463.28
2018,1,1,15,1590.76
2018,1,1,16,1016.62
2018,1,1,17,659.1
2018,1,1,18,622.7
2018,1,1,19,884.82
2018,1,1,20,1049.46
2018,1,1,21,852.67
2018,1,1,22,978.38
2018,1,1,23,1844.34
2018,1,2,0,2088.57
2018,1,2,1,1669.76
2018,1,2,2,1329.77
2018,1,2,3,936.4
2018,1,2,4,705.09
2018,1,2,5,623.64
2018,1,2,6,390.59
2018,1,2,7,174.54
2018,1,2,8,275.64
2018,1,2,9,707.76
2018,1,2,10,924.4
2018,1,2,11,1230.18
2018,1,2,12,1534.5
2018,1,2,13,1977.6
2018,1,2,14,1764.42
2018,1,2,15,1632.23
2018,1,2,16,947.87
2018,1,2,17,811.32
2018,1,2,18,1000.52
2018,1,2,19,928.3
2018,1,2,20,1258.11
2018,1,2,21,1112.03
2018,1,2,22,1009.98
2018,1,2,23,2116.05
2018,1,3,0,2310.14
2018,1,3,1,1367.13
2018,1,3,2,1388.82
2018,1,3,3,1109.5
2018,1,3,4,884.02
2018,1,3,5,574.08
2018,1,3,6,460.01
2018,1,3,7,232.75
2018,1,3,8,313.91
2018,1,3,9,659.79
2018,1,3,10,899.8
2018,1,3,11,1372.08
2018,1,3,12,1525.57
2018,1,3,13,1690.06
2018,1,3,14,1559.7
2018,1,3,15,1702.6
2018,1,3,16,1424.73
2018,1,3,17,909.58
2018,1,3,18,832.59
2018,1,3,19,978.09
2018,1,3,20,1172.99
2018,1,3,21,1104.79
2018,1,3,22,1245.53
2018,1,3,23,2267.17
2018,1,4,0,2460.75
2018,1,4,1,1864.23
2018,1,4,2,1655.53
2018,1,4,3,1432.37
2018,1,4,4,970.82
2018,1,4,5,369.42
2018,1,4,6,458.59
2018,1,4,7,298.54
2018,1,4,8,436.55
2018,1,4,9,629.03
2018,1,4,10,843.67
2018,1,4,11,1202.95
2018,1,4,12,1833.28
2018,1,4,13,1782.94
2018,1,4,14,1755.46
2018,1,4,15,2065.76
